00122-00000000000000905077                  -PUNTA DE ESPALDA CARNES       
00123-00000000000000904081                  -OJAL DE COSTILLA CARNES       
00124-00000000000000904072                  -BOLA DE LOMO CARNES           
00125-00000000000000904976                  -CUADRADA CARNES               
00126-00000000000000904072                  -PALETA CHATA CARNES           
00127-00000000000000904072                  -CUADRIL DE PALETA CARNES      
00128-00000000000000904163                  -PALOMITA REDONDA CARNES       
00129-00000000000000904976                  -CUADRIL DE PIERNA CARNES      
00130-00000000000000904072                  -PALOMITA CHATA CARNES         
00131-00000000000000905068                  -PUNTA DE PIERNA CARNES        
00132-00000000000000904976                  -NALGA CARNES                  
00133-00000000000000904082                  -PECETO CARNES                 
00134-00000000000000905792                  -LOMO CARNES                   
00135-00000000000000904072                  -FILET CARNES                  
00136-00000000000000180995                  -POLLO DE GRANJA 3 ARROLLOS    
00137-00000000000000180995                  -PATA MUSLO                    
00138-00000000000000135837                  -HUESOS COMUNES                
00139-00000000000000904081                  -SOLAPA CARNES                 
00140-00000000000000904878                  -MORCILLAS ONDARA              
00141-00000000000000089593                  -MORCILLA ECONOMICA            
00142-00000000000000950226                  -HUESO DE CODO CARNES          
00143-00000000000000045249                  -LOMO OFERTA                   
00144-00000000000000904887                  -ASADO DE OFERTA               
00145-00000000000000453303                  -PECHUGA DE POLLO              
00146-00000000000000090507                  -MOLLEJA                       
00147-00000000000000165289                  -BLANDA COMUN                  
00150-00000000000000123959                  -HUESOS DE CERDO               
00151-00000000000000152884                  -COMBO 1 COMUN                 
00152-00000000000000190074                  -CHORIZO COMUN                 
00153-00000000000000904976                  -CHORIZO ESPECIAL              
00154-00000000000000453385                  -CHORIZO CRIOLLO               
00155-00000000000000904976                  -CHORIZO PURO CERDO            
00156-00000000000000074380                  -CHORIZO ARTESANAL             
00157-00000000000000904072                  -COSTELETA DE CERDO            
00158-00000000000000452489                  -COSTILLAS DE CERDO            
00159-00000000000000453303                  -SALCHICHA PARRILLERA          
00160-00000000000000089593                  -HIGADO ACHURAS                
00161-00000000000000040724                  -GRASA POR MAYOR               
00162-00000000000000099548                  -CHINCHULIN                    
00163-00000000000000452498                  -MONDONGO ACHURAS              
00164-00000000000000009049                  -CERDO                         
00165-00000000000000090407                  -ALITA DE POLLO                
00166-00000000000000904887                  -BLANDA DE CERDO               
00167-00000000000000090489                  -MILANESA CARNE                
00168-00000000000000089593                  -MILANESA CERDO                
00169-00000000000000181810                  -MILANESA HIGADO               
00170-00000000000000452489                  -BLANDA OFERTA                 
00171-00000000000000054299                  -MOLIDA DE POLLO               
00172-00000000000000119457                  -LENGUA                        
00173-00000000000000090489                  -MOLIDA DE OFERTA              
00174-00000000000000082636                  -CHULETA OFERTA                
00175-000000000000004132237790895067631     -COCA COLA DES 1.5L CERO       
00176-00000000000000826116                  -MILANESA DE CARNE             
00180-000000000000000818187790895005374     -COCA COLA RET 1.25L GASEOSA   
00181-000000000000004132237790895000218     -COCA COLA RET 2L GASEOSA      
00182-000000000000000743807790895000270     -SPRITE LATA 310CC GASEOSA     
00183-000000000000004132237798321150971     -YOGS BEB BOT 1KG FRUTILLA     
00184-000000000000000826367790895642463     -SPRITE LATA 220CC ZERO GASEOSA
00186-000000000000000826377790895064142     -SPRITE DES 500CC ZERO GASEOSA 
00188-000000000000004132237790895000447     -SPRITE DES 1.5L GASEOSA       
00189-000000000000004958767790895064173     -SPRITE DES 1.5L ZERO GASEOSA  
00190-000000000000000818187790895001413     -COCA COLA DES 1L GASEOSA      
00192-000000000000004133067790895064166     -SPRITE DES 2.25L ZERO GASEOSA 
00193-000000000000000818187790895006111     -SPRITE RET 1.25L GASEOSA      
00195-000000000000000037197790895000232     -COCA COLA LATA 354ML GASEOSA  
00198-000000000000004132237790895000331     -FANTA RET 2L GASEOSA          
00199-000000000000004132237790895007385     -CRUSH 2.25L LIMA LIMON        
00200-000000000000004132237790895006951     -CRUSH 2.25L NARANJA           
00201-00000000000000000826                  -TARJETA CARNICERIA            
00202-00000000000000000826                  -TARJETA VERDULERIA            
00203-00000000000000000826                  -TARJETA ROPA                  
00204-00000000000000000826                  -TARJETA COMESTIBLE            
00205-000000000000000173557794580000118     -MOCOVI FID NUTRIB C/ESPIN 500g
00207-000000000000000818187791813420385     -PASO DE LOS TOROS 500ML       
00208-000000000000000826377791813555032     -PEPSI DES 500ML GASEOSA       
00210-000000000000004132237790770601851     -CALIPSO TOA NOCT 8UNID PLUS   
00211-000000000000004132237791813331360     -PEPSI RET 1.25L GASEOSA       
00212-000000000000000165297791813331384     -7UP RET 1.25L GASEOSA         
00213-000000000000000825627790770002368     -CALIPSO TOA 8UNID C/ALAS PLUS 
00214-000000000000000132237790770001002     -CALIPSO TOA 8UNID INCONT LEVE 
00215-000000000000004132237791813421368     -PASO DE LOS TOROS 1.5L TONICA 
00216-000000000000000797527791290005525     -VIM LAVAND GEL 750ML          
00217-000000000000004132237791813421382     -PASO DE LOS TOROS 1.5L POMELO 
00218-000000000000000066127790119009522     -STRAWERRY LIGTH               
00219-000000000000000248027791290004740     -DRIVE REG 3KG JABON EN POLVO  
00220-000000000000000545457792799000608     -AWAFRUT AGUA SAB 1.5L         
00221-000000000000004132237791813555056     -PEPSI DES 2.25L GASEOSA       
00222-000000000000004132237791813777052     -7UP DES 2.25L GASEOSA         
00223-000000000000000041327792860007420     -LHERITIER PASTA MANI 180 G.   
00224-000000000000000743807791337106000     -SERENITO C/CONFITES MOGUL 122G
00225-000000000000004132237794123001428     -CAVAS DE ZONDA VINO SYRAH 750M
00226-000000000000004132237794123001435     -CAVAS DE ZONDA VINO CHARDONNAY
00227-000000000000000024797790580307707     -MOGUL GELATINA 60G FRUTILLA   
00228-000000000000000024797790580307806     -MOGUL GELATINA 60G CEREZA     
00229-000000000000000024797790580307905     -MOGUL GELATINA 60G BANANA     
00230-000000000000004132237794123000537     -CAVAS DE ZONDA VINO TEMPRANILL
00231-000000000000000095047791540040603     -TERMIDOR VINO 1L TORRONTES    
00232-000000000000004132237798092700856     -CAVAS DE ZONDA VINO MALBEC 750
00233-000000000000004132237791293040790     -SEDAL 190ML AC BOMBA ARGAN    
00234-000000000000000413227622210745132     -MILKA OREO 55G BLANCO         
00235-000000000000004138847500435004749     -ACE LIQ 800ML C/SUAV          
00236-000000000000004132237794123001404     -CAVAS DE ZONDA VINO CABERNET  
00237-000000000000000413227794329000041     -DANNA SODA 2.25L              
00238-000000000000000049597794329000010     -DANNA SODA 1.5L               
00239-000000000000004133807792757115023     -BUDWEISER CERVEZA 1L          
00241-000000000000004139677793147572808     -HEINEKEN LATA 354ML 0.0       
00242-000000000000000082567795864000077     -SUPY SECADOR ROJO N40         
00244-000000000000004139597792799040512     -ANDES 970ML BOTELLA           
00245-000000000000004132237792798007493     -BRAHAMA 1L CERVEZA            
00246-000000000000008181827790150696811     -LA VIRGINIA CAFE MOL 1KG      
00247-000000000000004132237792798007387     -QUILMES 970ML CRISTAL CERVEZA 
00248-000000000000000818187792798012916     -QUILMES 970ML BOCK CERVEZA    
00249-000000000000004138767792798012923     -QUILMES 473ML CRISTAL LATA    
00250-000000000000000060347792798011018     -QUILMES 354ML CRISTAL LATA    
00251-000000000000004132237790895001031     -FANTA DES 2.25L LIMON         
00252-000000000000004132237500435191883     -H&S 375ML CONTROL GRASA SH    
00253-000000000000004138847795742011201     -BRAHAMA 1L CERVEZA            
00256-000000000000000826367790950610574     -PRONTO SHAKE 473ML LATA       
00257-000000000000000826367790950610581     -PRONTO BITT LATA 473ML        
00258-000000000000000082647793046008088     -DULCOR MERMELADA 500G MANZANA 
00259-000000000000000082647795323000846     -NUTRILON 2 BRICK 200ML        
00260-000000000000000082647795323000853     -NUTRILON 3 BRICK 200ML        
00261-000000000000008263647790520997548     -RAID AER MOS/MOSQ/ZAN 370ML   
00263-000000000000004139677790070318336     -LUCCHETTI FID 500G MOSTACHOL  
00264-000000000000000413227798031154139     -KNORR FID CODITOS 500G        
00265-000000000000000818187798118140277     -DI PASCUALE TALLARINES 500G E 
00266-000000000000001652897793100141355     -COLGATE ENJ BUC 250ML PLAX ORI
